ID,Fecha de Inicio
4902,6/11/15
4945,6/11/15
4985,6/11/15
4994,6/11/15
5024,6/11/15
5027,6/11/15
5120,6/11/15
5122,6/11/15
5195,6/11/15
5203,6/11/15
5206,6/11/15
5247,6/11/15
5350,6/11/15
5353,6/11/15
5364,6/11/15
19327,6/11/15
19329,6/11/15
19345,6/11/15
19348,6/11/15
19349,6/11/15
19350,6/11/15
19365,6/11/15
19369,6/11/15
19374,6/11/15
19375,6/11/15
19389,6/11/15
19397,6/11/15
19400,6/11/15
19401,6/11/15
19413,6/11/15
19415,6/11/15
19420,6/11/15
19430,6/11/15
19434,6/11/15
19442,6/11/15
19443,6/11/15
19445,6/11/15
19448,6/11/15
19450,6/11/15
19451,6/11/15
19455,6/11/15
8554,9/11/15
25,9/11/15
10117,10/11/15
11010,10/11/15
11477,10/11/15
7086,10/11/15
7163,12/11/15
6969,13/11/15
6977,13/11/15
20437,13/11/15
20442,13/11/15
228,13/11/15
231,13/11/15
294,13/11/15
619,13/11/15
629,13/11/15
631,13/11/15
693,13/11/15
697,13/11/15
710,13/11/15
763,13/11/15
792,13/11/15
878,13/11/15
918,13/11/15
925,13/11/15
972,13/11/15
1008,13/11/15
1012,13/11/15
1014,13/11/15
1269,13/11/15
1574,13/11/15
2739,13/11/15
3271,13/11/15
3508,13/11/15
3600,13/11/15
3605,13/11/15
3607,13/11/15
3612,13/11/15
3618,13/11/15
3624,13/11/15
4226,13/11/15
4869,13/11/15
4890,13/11/15
4899,13/11/15
4905,13/11/15
4910,13/11/15
4912,13/11/15
4917,13/11/15
4919,13/11/15
4923,13/11/15
4931,13/11/15
4934,13/11/15
4965,13/11/15
4974,13/11/15
4976,13/11/15
4977,13/11/15
4982,13/11/15
4996,13/11/15
5004,13/11/15
5008,13/11/15
5015,13/11/15
5074,13/11/15
5087,13/11/15
5093,13/11/15
5118,13/11/15
5121,13/11/15
5129,13/11/15
5148,13/11/15
5165,13/11/15
5177,13/11/15
5183,13/11/15
5197,13/11/15
5217,13/11/15
5235,13/11/15
5236,13/11/15
5237,13/11/15
5241,13/11/15
5266,13/11/15
5268,13/11/15
5269,13/11/15
5272,13/11/15
5280,13/11/15
5284,13/11/15
5289,13/11/15
5294,13/11/15
5306,13/11/15
5315,13/11/15
5333,13/11/15
5335,13/11/15
5347,13/11/15
5348,13/11/15
5351,13/11/15
5363,13/11/15
5370,13/11/15
5373,13/11/15
19340,13/11/15
19343,13/11/15
19379,13/11/15
19388,13/11/15
19405,13/11/15
5760,13/11/15
14,16/11/15
20233,16/11/15
20231,16/11/15
12859,17/11/15
20433,18/11/15
20326,18/11/15
11946,18/11/15
3,18/11/15
20792,19/11/15
7099,19/11/15
7219,19/11/15
10734,20/11/15
617,20/11/15
628,20/11/15
705,20/11/15
706,20/11/15
707,20/11/15
720,20/11/15
725,20/11/15
871,20/11/15
884,20/11/15
934,20/11/15
1133,20/11/15
1156,20/11/15
1195,20/11/15
1522,20/11/15
1540,20/11/15
2142,20/11/15
3613,20/11/15
3629,20/11/15
4619,20/11/15
4892,20/11/15
4909,20/11/15
4928,20/11/15
4936,20/11/15
4956,20/11/15
4978,20/11/15
4984,20/11/15
5005,20/11/15
5023,20/11/15
5066,20/11/15
5088,20/11/15
5104,20/11/15
5125,20/11/15
5153,20/11/15
5242,20/11/15
5245,20/11/15
5248,20/11/15
5274,20/11/15
5302,20/11/15
5303,20/11/15
5316,20/11/15
5327,20/11/15
5337,20/11/15
19475,20/11/15
7096,20/11/15
7221,20/11/15
12853,24/11/15
7205,24/11/15
7215,24/11/15
11430,25/11/15
6832,26/11/15
11196,26/11/15
950,26/11/15
1559,26/11/15
4941,26/11/15
5016,26/11/15
5017,26/11/15
5026,26/11/15
5038,26/11/15
5086,26/11/15
24,30/11/15
6947,1/12/15
20393,1/12/15
21495,2/12/15
6884,2/12/15
20247,2/12/15
10942,3/12/15
20444,3/12/15
11236,3/12/15
16,3/12/15
660,3/12/15
690,3/12/15
952,3/12/15
1181,3/12/15
1356,3/12/15
1364,3/12/15
1529,3/12/15
1560,3/12/15
1566,3/12/15
3573,3/12/15
5042,3/12/15
5167,3/12/15
5169,3/12/15
5224,3/12/15
5257,3/12/15
5275,3/12/15
5345,3/12/15
19332,3/12/15
19355,3/12/15
19319,3/12/15
7102,3/12/15
8786,4/12/15
20361,4/12/15
10943,4/12/15
20454,4/12/15
20664,4/12/15
9,4/12/15
